Metadata_JCP2022,mean,std,count
JCP2022_800035,8.427239,1.8981243,5
JCP2022_801685,8.423526,2.2121365,5
JCP2022_805511,8.422512,3.0112088,5
JCP2022_807568,8.417664,2.1959438,5
JCP2022_807451,8.415896,3.8116894,5
JCP2022_803037,8.412874,5.4736133,5
JCP2022_802083,8.408447,0.8877404,5
JCP2022_803575,8.402895,1.6302855,5
JCP2022_805038,8.3834715,4.911306,5
JCP2022_807786,8.376368,5.9950495,5
JCP2022_805319,8.372169,1.2425781,7
JCP2022_800533,8.372135,1.0724986,6
JCP2022_806743,8.36043,1.609827,6
JCP2022_800982,8.357162,1.4911977,5
JCP2022_805267,8.355878,1.1962802,5
JCP2022_807802,8.35538,1.0506871,5
JCP2022_802050,8.341078,0.6311472,5
JCP2022_801094,8.335983,6.087035,5
JCP2022_802214,8.33503,2.0954309,5
JCP2022_800395,8.329364,7.709144,6
JCP2022_805614,8.324796,3.15482,7
JCP2022_801797,8.323336,1.3769343,5
JCP2022_807598,8.3214245,2.2003589,5
JCP2022_801565,8.319403,5.013296,5
JCP2022_803729,8.316693,5.8321075,7
JCP2022_806146,8.314821,0.72302735,5
JCP2022_806685,8.31463,6.629138,5
JCP2022_806489,8.309981,5.5170617,7
JCP2022_807244,8.301872,1.7552125,5
JCP2022_805858,8.300765,1.4415692,5
JCP2022_805555,8.297893,2.0046175,6
JCP2022_807437,8.287801,1.8700117,10
JCP2022_807662,8.273984,1.5863374,5
JCP2022_802200,8.269285,1.699305,5
JCP2022_803263,8.2482605,2.4326634,5
JCP2022_804599,8.247323,6.3328004,5
JCP2022_805566,8.242996,1.1174155,5
JCP2022_803194,8.238444,3.9005353,5
JCP2022_807473,8.237295,1.6814027,5
JCP2022_803077,8.2304735,5.3664274,5
JCP2022_807512,8.229301,0.8653958,7
JCP2022_802098,8.227974,0.65722495,6
JCP2022_807105,8.222807,5.7688947,5
JCP2022_803240,8.221357,1.8541139,5
JCP2022_805025,8.219693,0.619789,7
JCP2022_800863,8.212995,1.0288756,5
JCP2022_806781,8.21161,1.3386425,5
JCP2022_801956,8.204626,0.3472483,5
JCP2022_804091,8.20255,0.6604059,5
JCP2022_803020,8.196958,3.8776274,5
JCP2022_803203,8.192017,1.2759608,5
JCP2022_806178,8.191494,5.018033,5
JCP2022_807201,8.189722,5.153671,5
JCP2022_807393,8.18765,1.2544886,5
JCP2022_803028,8.184648,1.6165211,5
JCP2022_804158,8.180863,1.1831648,5
JCP2022_801147,8.180072,0.4472985,5
JCP2022_803982,8.179227,0.7693138,5
JCP2022_806044,8.168074,3.3996925,5
JCP2022_805786,8.16766,4.914041,5
JCP2022_806471,8.155692,6.9506025,5
JCP2022_802749,8.15534,4.8223066,5
JCP2022_802254,8.155228,4.9489202,5
JCP2022_801344,8.154886,6.3935804,5
JCP2022_806233,8.149477,5.1505938,5
JCP2022_803993,8.147286,4.74157,5
JCP2022_807655,8.144999,5.2464466,5
JCP2022_805444,8.144022,0.85703766,5
JCP2022_803197,8.138922,2.8248658,5
JCP2022_805346,8.127291,0.90661377,5
JCP2022_807665,8.1249485,7.8228064,5
JCP2022_803992,8.120996,1.7903708,5
JCP2022_801067,8.120516,5.609988,5
JCP2022_800639,8.120027,5.6310077,7
JCP2022_807444,8.11711,6.494365,5
JCP2022_807740,8.1119175,0.7220451,5
JCP2022_806508,8.109731,1.7425872,5
JCP2022_801986,8.108297,1.6092055,5
JCP2022_807548,8.099516,1.2445476,5
JCP2022_801287,8.097517,0.48425847,5
JCP2022_803089,8.093352,2.8681145,5
JCP2022_803974,8.090429,7.9265695,5
JCP2022_801438,8.088564,1.4133071,10
JCP2022_807200,8.07881,1.1570153,7
JCP2022_800634,8.060571,2.5495236,5
JCP2022_807465,8.059754,0.46827275,5
JCP2022_806137,8.05469,4.168951,5
JCP2022_802437,8.054343,2.06399,5
JCP2022_803995,8.0524235,0.904394,5
JCP2022_803735,8.05048,1.3509228,7
JCP2022_800701,8.048816,2.6779804,7
JCP2022_801433,8.04058,1.4992089,5
JCP2022_806888,8.03044,1.8938731,5
JCP2022_801720,8.028051,1.2305008,5
JCP2022_807859,8.01605,4.700624,5
JCP2022_800649,8.00927,6.1441693,5
JCP2022_803568,8.008803,6.120709,5
JCP2022_804505,8.006648,0.8375825,5
JCP2022_802953,8.001495,0.70745623,5
JCP2022_801467,8.000555,0.98881364,5
JCP2022_803120,8.000475,4.5432143,5
JCP2022_803299,7.9989777,0.6668746,5
JCP2022_802250,7.993825,4.22877,5
JCP2022_805260,7.993164,1.2606568,5
JCP2022_801822,7.9923615,1.9797238,5
JCP2022_803450,7.9919577,3.3022554,5
JCP2022_804521,7.9870377,4.8067665,5
JCP2022_801227,7.9862623,6.448113,7
JCP2022_801814,7.9838257,2.0158868,10
JCP2022_805411,7.982222,6.535522,5
JCP2022_800952,7.982139,0.5123293,6
JCP2022_807403,7.9806514,1.5621521,7
JCP2022_801743,7.974657,0.41086775,6
JCP2022_803030,7.973736,5.3863516,7
JCP2022_804379,7.9723806,3.0271618,5
JCP2022_804112,7.964933,1.6285726,5
JCP2022_800228,7.9637823,3.110599,5
JCP2022_801236,7.956024,3.0000372,5
JCP2022_801072,7.9545107,3.137186,5
JCP2022_801811,7.953109,1.7896394,5
JCP2022_800650,7.946646,3.472594,10
JCP2022_801043,7.9462385,4.133904,5
JCP2022_800946,7.9424257,1.2889062,5
